4HBT	24	Thermoprotei,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Actinobacteria,Chloroflexi,Chlorobi,Archaeoglobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Methanobacteria,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Spirochaetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
Ribosomal_S8	26	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Tenericutes,Deinococcus-Thermus,Spirochaetes,Fusobacteria,Bacteroidetes,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
Fer4_19	7	Halobacteria,Methanomicrobia,Actinobacteria,Methanobacteria,Bacteroidetes,Thermoplasmata,Proteobacteria	2	Archaea,Bacteria
Pericardin_rpt	1	Proteobacteria	1	Bacteria
AvrE_T3Es	1	Proteobacteria	1	Bacteria
Spermine_synth	19	Thermoprotei,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Actinobacteria,Halobacteria,Methanopyri,Archaeoglobi,Methanomicrobia,Thermotogae,Bacteroidetes,Firmicutes,Planctomycetes,Aquificae,Rhodothermaeota,Deinococcus-Thermus	2	Archaea,Bacteria
HcyBio	11	Methanomicrobia,Proteobacteria,Cyanobacteria,Methanopyri,Archaeoglobi,Methanobacteria,Chloroflexi,Thermoplasmata,Firmicutes,Aquificae,Thermotogae	2	Archaea,Bacteria
Lactonase	14	Methanomicrobia,Acidobacteria,Actinobacteria,Thermoplasmata,Halobacteria,Proteobacteria,Chloroflexi,Fusobacteria,Firmicutes,Planctomycetes,Cyanobacteria,Methanobacteria,Bacteroidetes,Rhodothermaeota	2	Archaea,Bacteria
NMN_transporter	9	Cyanobacteria,Chloroflexi,Actinobacteria,Bacteroidetes,Tenericutes,Firmicutes,Proteobacteria,Rhodothermaeota,Planctomycetes	1	Bacteria
PTS_EIIA_1	9	Actinobacteria,Spirochaetes,Chloroflexi,Fusobacteria,Firmicutes,Tenericutes,Cyanobacteria,Proteobacteria,Thermotogae	1	Bacteria
PTS_EIIA_2	19	Actinobacteria,Halobacteria,Chlamydiae,Proteobacteria,Chloroflexi,Chlorobi,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Bacteroidetes,Tenericutes,Thermoprotei,Thermoplasmata,Aquificae,Thermococci,Rhodothermaeota,Thermotogae	2	Bacteria,Archaea
Glycolipid_bind	5	Chloroflexi,Proteobacteria,Actinobacteria,Halobacteria,Bacteroidetes	2	Bacteria,Archaea
SprT-like	10	Halobacteria,Methanomicrobia,Thermotogae,Bacteroidetes,Planctomycetes,Cyanobacteria,Proteobacteria,Firmicutes,Actinobacteria,Rhodothermaeota	2	Archaea,Bacteria
Cyt_bd_oxida_I	17	Thermoprotei,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Acidobacteria,Cyanobacteria,Actinobacteria,Chloroflexi,Archaeoglobi,Methanomicrobia,Bacteroidetes,Spirochaetes,Ignavibacteriae,Firmicutes,Planctomycetes,Aquificae	2	Archaea,Bacteria
Ribosomal_S2	26	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Tenericutes,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
ChaB	6	Methanomicrobia,Cyanobacteria,Proteobacteria,Chloroflexi,Actinobacteria,Bacteroidetes	2	Archaea,Bacteria
ChaC	3	Proteobacteria,Cyanobacteria,Halobacteria	2	Bacteria,Archaea
